id+,days_since_purchase,frequency,revenue,log_days_since_purchase,log_frequency,log_revenue,Cluster_Prediction,segment
ID2871564,43,4,485736.00,3.78,1.61,13.09,5,need bring back
ID2871660,99,5,1269360.00,4.61,1.79,14.05,5,need bring back
ID2871672,218,2,124704.00,5.39,1.10,11.73,0,can not lose
ID2871798,274,2,172278.00,5.62,1.10,12.06,0,can not lose
ID2871996,8,37,17582778.00,2.20,3.64,16.68,3,champions
ID2872020,43,1,603750.00,3.78,0.69,13.31,5,need bring back
ID2872134,169,1,109152.00,5.14,0.69,11.60,0,can not lose
ID2872158,204,1,121338.00,5.32,0.69,11.71,0,can not lose
ID2872200,36,1,27216.00,3.61,0.69,10.21,4,new customers with low buying ability
ID2872308,22,15,1227846.00,3.14,2.77,14.02,1,new customers with high buying ability
ID2872386,8,1,61854.00,2.20,0.69,11.03,4,new customers with low buying ability
ID2872422,218,1,241164.00,5.39,0.69,12.39,0,can not lose
ID2872440,29,2,604662.00,3.40,1.10,13.31,1,new customers with high buying ability
ID2872662,15,29,8156922.00,2.77,3.40,15.91,3,champions
ID2872680,8,42,12237576.00,2.20,3.76,16.32,3,champions
ID2872746,260,2,282996.00,5.56,1.10,12.55,0,can not lose
ID2872752,274,1,121338.00,5.62,0.69,11.71,0,can not lose
ID2872788,36,13,2159286.00,3.61,2.64,14.59,1,new customers with high buying ability
ID2872854,120,2,186492.00,4.80,1.10,12.14,0,can not lose
ID2873082,29,7,969552.00,3.40,2.08,13.78,1,new customers with high buying ability
ID2873094,36,10,1076100.00,3.61,2.40,13.89,1,new customers with high buying ability
ID2873154,71,2,227808.00,4.28,1.10,12.34,5,need bring back
ID2873202,232,2,243324.00,5.45,1.10,12.40,0,can not lose
ID2873232,281,2,1824570.00,5.64,1.10,14.42,5,need bring back
ID2873250,22,4,728148.00,3.14,1.61,13.50,1,new customers with high buying ability
ID2873328,43,1,120750.00,3.78,0.69,11.70,4,new customers with low buying ability
ID2873484,148,5,1236420.00,5.00,1.79,14.03,5,need bring back
ID2873562,22,21,6380754.00,3.14,3.09,15.67,3,champions
ID2873694,43,9,1460094.00,3.78,2.30,14.19,1,new customers with high buying ability
ID2873766,99,1,120576.00,4.61,0.69,11.70,0,can not lose
ID2873898,190,1,121662.00,5.25,0.69,11.71,0,can not lose
ID2874006,99,1,241152.00,4.61,0.69,12.39,0,can not lose
ID2874216,64,2,1069740.00,4.17,1.10,13.88,5,need bring back
ID2874246,29,4,482208.00,3.40,1.61,13.09,1,new customers with high buying ability
ID2874258,43,3,950976.00,3.78,1.39,13.77,5,need bring back
ID2874270,22,5,514296.00,3.14,1.79,13.15,1,new customers with high buying ability
ID2874336,274,1,121662.00,5.62,0.69,11.71,0,can not lose
ID2874348,64,7,382626.00,4.17,2.08,12.85,5,need bring back
ID2874462,71,1,410712.00,4.28,0.69,12.93,5,need bring back
ID2874480,239,2,608454.00,5.48,1.10,13.32,5,need bring back
ID2874582,43,1,222780.00,3.78,0.69,12.31,4,new customers with low buying ability
ID2874630,274,2,243324.00,5.62,1.10,12.40,0,can not lose
ID2874666,127,5,1119984.00,4.85,1.79,13.93,5,need bring back
ID2874786,225,1,219342.00,5.42,0.69,12.30,0,can not lose
ID2874912,267,2,92760.00,5.59,1.10,11.44,0,can not lose
ID2874918,8,6,975486.00,2.20,1.95,13.79,1,new customers with high buying ability
ID2874990,232,1,121662.00,5.45,0.69,11.71,0,can not lose
ID2875008,8,2,241500.00,2.20,1.10,12.39,1,new customers with high buying ability
ID2875074,71,8,2790474.00,4.28,2.20,14.84,5,need bring back
ID2875110,22,12,4963596.00,3.14,2.56,15.42,3,champions
ID2875122,36,4,1467924.00,3.61,1.61,14.20,1,new customers with high buying ability
ID2875224,22,18,5287416.00,3.14,2.94,15.48,3,champions
ID2875314,22,3,291456.00,3.14,1.39,12.58,1,new customers with high buying ability
ID2875536,260,1,220728.00,5.56,0.69,12.30,0,can not lose
ID2875602,281,1,222144.00,5.64,0.69,12.31,0,can not lose
ID2875632,267,1,121662.00,5.59,0.69,11.71,0,can not lose
ID2875914,1,17,9084498.00,0.69,2.89,16.02,3,champions
ID2875950,1,47,9576420.00,0.69,3.87,16.07,3,champions
ID2875962,15,6,212592.00,2.77,1.95,12.27,1,new customers with high buying ability
ID2875968,43,4,2145168.00,3.78,1.61,14.58,1,new customers with high buying ability
ID2876088,43,10,4490610.00,3.78,2.40,15.32,3,champions
ID2876106,15,9,1578222.00,2.77,2.30,14.27,1,new customers with high buying ability
ID2876130,43,15,2914014.00,3.78,2.77,14.89,3,champions
ID2876274,183,5,3098082.00,5.21,1.79,14.95,5,need bring back
ID2876286,8,6,619542.00,2.20,1.95,13.34,1,new customers with high buying ability
ID2876364,22,6,1033998.00,3.14,1.95,13.85,1,new customers with high buying ability
ID2876400,36,10,3965550.00,3.61,2.40,15.19,3,champions
ID2876412,57,3,364110.00,4.06,1.39,12.81,5,need bring back
ID2876442,169,3,192438.00,5.14,1.39,12.17,0,can not lose
ID2876478,197,2,364986.00,5.29,1.10,12.81,5,need bring back
ID2876808,71,2,444882.00,4.28,1.10,13.01,5,need bring back
ID2876814,260,1,129660.00,5.56,0.69,11.77,0,can not lose
ID2876862,253,2,218304.00,5.54,1.10,12.29,0,can not lose
ID2876988,29,6,849882.00,3.40,1.95,13.65,1,new customers with high buying ability
ID2877060,71,1,120750.00,4.28,0.69,11.70,4,new customers with low buying ability
ID2877066,274,3,497814.00,5.62,1.39,13.12,5,need bring back
ID2877198,71,1,61854.00,4.28,0.69,11.03,4,new customers with low buying ability
ID2877240,22,1,120750.00,3.14,0.69,11.70,4,new customers with low buying ability
ID2877258,22,7,2956566.00,3.14,2.08,14.90,3,champions
ID2877594,8,37,11886534.00,2.20,3.64,16.29,3,champions
ID2877606,134,1,64830.00,4.91,0.69,11.08,0,can not lose
ID2877666,22,1,120738.00,3.14,0.69,11.70,4,new customers with low buying ability
ID2877690,106,1,27708.00,4.67,0.69,10.23,2,may lose
ID2877714,1,56,15868842.00,0.69,4.04,16.58,3,champions
ID2877738,120,2,0.00,4.80,1.10,0.00,2,may lose
ID2877798,57,2,624768.00,4.06,1.10,13.35,5,need bring back
ID2877834,22,3,1447290.00,3.14,1.39,14.19,1,new customers with high buying ability
ID2877972,232,1,243324.00,5.45,0.69,12.40,0,can not lose
ID2878194,239,1,440904.00,5.48,0.69,13.00,5,need bring back
ID2878236,1,15,1674606.00,0.69,2.77,14.33,3,champions
ID2878266,15,14,2266686.00,2.77,2.71,14.63,3,champions
ID2878272,36,1,241500.00,3.61,0.69,12.39,4,new customers with low buying ability
ID2878350,113,1,64830.00,4.74,0.69,11.08,0,can not lose
ID2878392,92,1,223884.00,4.53,0.69,12.32,0,can not lose
ID2878398,239,5,2051382.00,5.48,1.79,14.53,5,need bring back
ID2878428,8,20,4127064.00,2.20,3.04,15.23,3,champions
ID2878470,64,2,303828.00,4.17,1.10,12.62,5,need bring back
ID2878476,85,6,848202.00,4.45,1.95,13.65,5,need bring back
ID2878716,190,1,192450.00,5.25,0.69,12.17,0,can not lose
ID2878770,29,4,501732.00,3.40,1.61,13.13,1,new customers with high buying ability
ID2878818,22,4,726804.00,3.14,1.61,13.50,1,new customers with high buying ability
ID2878968,8,40,15024780.00,2.20,3.71,16.53,3,champions
ID2879058,29,4,715542.00,3.40,1.61,13.48,1,new customers with high buying ability
ID2879106,113,1,121662.00,4.74,0.69,11.71,0,can not lose
ID2879148,64,6,727308.00,4.17,1.95,13.50,5,need bring back
ID2879346,169,1,120390.00,5.14,0.69,11.70,0,can not lose
ID2879400,57,2,242088.00,4.06,1.10,12.40,4,new customers with low buying ability
ID2879436,15,23,11934714.00,2.77,3.18,16.29,3,champions
ID2879592,64,2,122448.00,4.17,1.10,11.72,4,new customers with low buying ability
ID2879742,85,9,343482.00,4.45,2.30,12.75,5,need bring back
ID2879784,36,7,912204.00,3.61,2.08,13.72,1,new customers with high buying ability
ID2879898,36,7,2307786.00,3.61,2.08,14.65,1,new customers with high buying ability
ID2879904,36,16,4892916.00,3.61,2.83,15.40,3,champions
ID2879910,302,1,121338.00,5.71,0.69,11.71,0,can not lose
ID2879958,190,2,242052.00,5.25,1.10,12.40,0,can not lose
ID2879964,15,6,707676.00,2.77,1.95,13.47,1,new customers with high buying ability
ID2880096,8,11,3054594.00,2.20,2.48,14.93,3,champions
ID2880114,29,5,664836.00,3.40,1.79,13.41,1,new customers with high buying ability
ID2880138,281,1,121638.00,5.64,0.69,11.71,0,can not lose
ID2880180,120,2,579726.00,4.80,1.10,13.27,5,need bring back
ID2880222,260,1,121638.00,5.56,0.69,11.71,0,can not lose
ID2880318,162,6,973332.00,5.09,1.95,13.79,5,need bring back
ID2880336,8,6,903198.00,2.20,1.95,13.71,1,new customers with high buying ability
ID2880354,29,27,16391784.00,3.40,3.33,16.61,3,champions
ID2880708,29,3,607398.00,3.40,1.39,13.32,1,new customers with high buying ability
ID2880786,113,4,608286.00,4.74,1.61,13.32,5,need bring back
ID2880810,22,2,445608.00,3.14,1.10,13.01,1,new customers with high buying ability
ID2880828,1,3,602610.00,0.69,1.39,13.31,1,new customers with high buying ability
ID2880954,15,32,9890166.00,2.77,3.50,16.11,3,champions
ID2881026,85,2,703728.00,4.45,1.10,13.46,5,need bring back
ID2881068,155,6,723456.00,5.05,1.95,13.49,5,need bring back
ID2881116,43,4,374904.00,3.78,1.61,12.83,5,need bring back
ID2881200,29,17,2443224.00,3.40,2.89,14.71,3,champions
ID2881356,127,1,224484.00,4.85,0.69,12.32,0,can not lose
ID2881500,43,4,250392.00,3.78,1.61,12.43,4,new customers with low buying ability
ID2881560,29,8,1464978.00,3.40,2.20,14.20,1,new customers with high buying ability
ID2881566,43,6,764418.00,3.78,1.95,13.55,1,new customers with high buying ability
ID2881584,155,3,130494.00,5.05,1.39,11.78,0,can not lose
ID2881716,22,3,478722.00,3.14,1.39,13.08,1,new customers with high buying ability
ID2881752,8,15,3350820.00,2.20,2.77,15.02,3,champions
ID2881890,36,11,4088232.00,3.61,2.48,15.22,3,champions
ID2882022,36,8,6927582.00,3.61,2.20,15.75,3,champions
ID2882028,22,10,4242762.00,3.14,2.40,15.26,3,champions
ID2882046,22,9,2469876.00,3.14,2.30,14.72,3,champions
ID2882154,211,2,723456.00,5.36,1.10,13.49,5,need bring back
ID2882274,1,4,968604.00,0.69,1.61,13.78,1,new customers with high buying ability
ID2882286,22,4,970596.00,3.14,1.61,13.79,1,new customers with high buying ability
ID2882460,15,19,2970420.00,2.77,3.00,14.90,3,champions
ID2882556,120,2,361170.00,4.80,1.10,12.80,5,need bring back
ID2882928,29,1,62352.00,3.40,0.69,11.04,4,new customers with low buying ability
ID2883000,22,33,29729172.00,3.14,3.53,17.21,3,champions
ID2883018,92,11,2047122.00,4.53,2.48,14.53,5,need bring back
ID2883090,15,10,635508.00,2.77,2.40,13.36,1,new customers with high buying ability
ID2883162,15,1,183672.00,2.77,0.69,12.12,4,new customers with low buying ability
ID2883282,22,5,209034.00,3.14,1.79,12.25,4,new customers with low buying ability
ID2883450,183,1,185148.00,5.21,0.69,12.13,0,can not lose
ID2883612,225,3,2013066.00,5.42,1.39,14.52,5,need bring back
ID2883702,64,1,124704.00,4.17,0.69,11.73,4,new customers with low buying ability
ID2883810,64,5,606486.00,4.17,1.79,13.32,5,need bring back
ID2883816,197,2,411120.00,5.29,1.10,12.93,5,need bring back
ID2883840,64,1,38970.00,4.17,0.69,10.57,4,new customers with low buying ability
ID2883870,141,1,190530.00,4.96,0.69,12.16,0,can not lose
ID2883924,22,7,2796408.00,3.14,2.08,14.84,3,champions
ID2883960,288,1,605370.00,5.67,0.69,13.31,5,need bring back
ID2884038,99,7,1538748.00,4.61,2.08,14.25,5,need bring back
ID2884056,36,1,151872.00,3.61,0.69,11.93,4,new customers with low buying ability
ID2884146,22,10,550152.00,3.14,2.40,13.22,1,new customers with high buying ability
ID2884320,183,1,486552.00,5.21,0.69,13.10,5,need bring back
ID2884434,211,3,332280.00,5.36,1.39,12.71,5,need bring back
ID2884482,267,1,192450.00,5.59,0.69,12.17,0,can not lose
ID2884554,36,6,611460.00,3.61,1.95,13.32,1,new customers with high buying ability
ID2884614,211,1,64482.00,5.36,0.69,11.07,0,can not lose
ID2884686,246,1,192402.00,5.51,0.69,12.17,0,can not lose
ID2884728,162,2,67380.00,5.09,1.10,11.12,0,can not lose
ID2884734,22,7,3536532.00,3.14,2.08,15.08,3,champions
ID2884896,134,2,240966.00,4.91,1.10,12.39,0,can not lose
ID2885028,8,12,4870308.00,2.20,2.56,15.40,3,champions
ID2885148,1,28,7719636.00,0.69,3.37,15.86,3,champions
ID2885172,1,18,3871320.00,0.69,2.94,15.17,3,champions
ID2885208,15,19,8500842.00,2.77,3.00,15.96,3,champions
ID2885250,99,1,243324.00,4.61,0.69,12.40,0,can not lose
ID2885322,78,11,1236516.00,4.37,2.48,14.03,5,need bring back
ID2885442,43,8,1212126.00,3.78,2.20,14.01,1,new customers with high buying ability
ID2885562,15,22,3551478.00,2.77,3.14,15.08,3,champions
ID2885610,295,1,121638.00,5.69,0.69,11.71,0,can not lose
ID2885814,15,5,2711544.00,2.77,1.79,14.81,1,new customers with high buying ability
ID2885856,120,3,1029060.00,4.80,1.39,13.84,5,need bring back
ID2885862,22,10,1244964.00,3.14,2.40,14.03,1,new customers with high buying ability
ID2885868,15,31,3379344.00,2.77,3.47,15.03,3,champions
ID2886000,36,1,76278.00,3.61,0.69,11.24,4,new customers with low buying ability
ID2886060,281,1,121338.00,5.64,0.69,11.71,0,can not lose
ID2886186,22,9,2047662.00,3.14,2.30,14.53,1,new customers with high buying ability
ID2886240,204,1,120390.00,5.32,0.69,11.70,0,can not lose
ID2886270,1,11,3273300.00,0.69,2.48,15.00,3,champions
ID2886294,15,7,910608.00,2.77,2.08,13.72,1,new customers with high buying ability
ID2886330,78,5,713232.00,4.37,1.79,13.48,5,need bring back
ID2886558,246,1,224442.00,5.51,0.69,12.32,0,can not lose
ID2886870,22,7,2073456.00,3.14,2.08,14.54,1,new customers with high buying ability
ID2886996,50,13,2789850.00,3.93,2.64,14.84,3,champions
ID2887116,99,1,364986.00,4.61,0.69,12.81,5,need bring back
ID2887164,281,1,39660.00,5.64,0.69,10.59,2,may lose
ID2887200,127,1,121662.00,4.85,0.69,11.71,0,can not lose
ID2887356,85,5,931614.00,4.45,1.79,13.74,5,need bring back
ID2887572,1,13,4709334.00,0.69,2.64,15.37,3,champions
ID2887686,106,1,322380.00,4.67,0.69,12.68,5,need bring back
ID2887848,8,46,27084126.00,2.20,3.85,17.11,3,champions
ID2887920,50,4,334272.00,3.93,1.61,12.72,5,need bring back
ID2888460,43,3,400788.00,3.78,1.39,12.90,5,need bring back
ID2888526,253,1,224484.00,5.54,0.69,12.32,0,can not lose
ID2888556,15,12,2390184.00,2.77,2.56,14.69,3,champions
ID2888652,22,8,2661324.00,3.14,2.20,14.79,3,champions
ID2888766,99,1,121662.00,4.61,0.69,11.71,0,can not lose
ID2888796,260,2,184788.00,5.56,1.10,12.13,0,can not lose
ID2888952,155,4,594360.00,5.05,1.61,13.30,5,need bring back
ID2889006,155,3,408786.00,5.05,1.39,12.92,5,need bring back
ID2889066,22,2,78630.00,3.14,1.10,11.27,4,new customers with low buying ability
ID2889180,15,13,9347424.00,2.77,2.64,16.05,3,champions
ID2889210,8,28,5356392.00,2.20,3.37,15.49,3,champions
ID2889366,127,1,64830.00,4.85,0.69,11.08,0,can not lose
ID2889444,211,1,243324.00,5.36,0.69,12.40,0,can not lose
ID2889516,22,6,7234980.00,3.14,1.95,15.79,3,champions
ID2889600,8,29,2901714.00,2.20,3.40,14.88,3,champions
ID2889606,22,3,281382.00,3.14,1.39,12.55,1,new customers with high buying ability
ID2889618,295,1,121698.00,5.69,0.69,11.71,0,can not lose
ID2889780,99,4,209850.00,4.61,1.61,12.25,5,need bring back
ID2889798,50,2,283686.00,3.93,1.10,12.56,5,need bring back
ID2889846,36,1,241500.00,3.61,0.69,12.39,4,new customers with low buying ability
ID2889864,15,2,105834.00,2.77,1.10,11.57,4,new customers with low buying ability
ID2889882,8,12,7654092.00,2.20,2.56,15.85,3,champions
ID2889984,274,3,111006.00,5.62,1.39,11.62,0,can not lose
ID2889996,78,1,120750.00,4.37,0.69,11.70,0,can not lose
ID2890032,113,1,121662.00,4.74,0.69,11.71,0,can not lose
ID2890158,78,6,2411220.00,4.37,1.95,14.70,5,need bring back
ID2890230,232,1,219342.00,5.45,0.69,12.30,0,can not lose
ID2890236,8,58,14796108.00,2.20,4.08,16.51,3,champions
ID2890248,204,1,224484.00,5.32,0.69,12.32,0,can not lose
ID2890290,155,1,448968.00,5.05,0.69,13.01,5,need bring back
ID2890506,15,12,1623738.00,2.77,2.56,14.30,1,new customers with high buying ability
ID2890560,99,8,1822662.00,4.61,2.20,14.42,5,need bring back
ID2890596,36,1,59382.00,3.61,0.69,10.99,4,new customers with low buying ability
ID2890734,29,6,2436156.00,3.40,1.95,14.71,1,new customers with high buying ability
ID2890836,15,4,391272.00,2.77,1.61,12.88,1,new customers with high buying ability
ID2890842,1,35,13391232.00,0.69,3.58,16.41,3,champions
ID2891010,169,2,559626.00,5.14,1.10,13.24,5,need bring back
ID2891094,43,2,707484.00,3.78,1.10,13.47,5,need bring back
ID2891202,36,3,362790.00,3.61,1.39,12.80,1,new customers with high buying ability
ID2891214,127,2,243300.00,4.85,1.10,12.40,0,can not lose
ID2891226,43,3,485736.00,3.78,1.39,13.09,5,need bring back
ID2891364,85,4,332328.00,4.45,1.61,12.71,5,need bring back
ID2891448,197,1,121662.00,5.29,0.69,11.71,0,can not lose
ID2891460,204,1,121662.00,5.32,0.69,11.71,0,can not lose
ID2891514,92,1,121662.00,4.53,0.69,11.71,0,can not lose
ID2891526,106,2,486648.00,4.67,1.10,13.10,5,need bring back
ID2891706,22,44,7962330.00,3.14,3.81,15.89,3,champions
ID2891766,162,2,243324.00,5.09,1.10,12.40,0,can not lose
ID2892888,1,26,4563372.00,0.69,3.30,15.33,3,champions
ID2893002,78,3,530430.00,4.37,1.39,13.18,5,need bring back
ID2893080,120,1,1122444.00,4.80,0.69,13.93,5,need bring back
ID2893158,22,6,875136.00,3.14,1.95,13.68,1,new customers with high buying ability
ID2893188,36,2,263454.00,3.61,1.10,12.48,4,new customers with low buying ability
ID2893302,99,2,243324.00,4.61,1.10,12.40,0,can not lose
ID2893422,78,4,606486.00,4.37,1.61,13.32,5,need bring back
ID2894148,29,2,725328.00,3.40,1.10,13.49,1,new customers with high buying ability
ID2894238,169,1,187056.00,5.14,0.69,12.14,0,can not lose
ID2894262,29,2,101322.00,3.40,1.10,11.53,4,new customers with low buying ability
ID2894364,1,47,17299092.00,0.69,3.87,16.67,3,champions
ID2894430,134,1,121662.00,4.91,0.69,11.71,0,can not lose
ID2894532,85,1,121662.00,4.45,0.69,11.71,0,can not lose
ID2894574,99,2,186492.00,4.61,1.10,12.14,0,can not lose
ID2894616,218,1,390282.00,5.39,0.69,12.87,5,need bring back
ID2894646,71,2,426948.00,4.28,1.10,12.96,5,need bring back
ID2894784,1,27,5192574.00,0.69,3.33,15.46,3,champions
ID2894808,190,7,437442.00,5.25,2.08,12.99,5,need bring back
ID2894874,15,20,6994728.00,2.77,3.04,15.76,3,champions
ID2894946,120,4,487368.00,4.80,1.61,13.10,5,need bring back
ID2895030,169,2,243324.00,5.14,1.10,12.40,0,can not lose
ID2895066,29,3,363162.00,3.40,1.39,12.80,1,new customers with high buying ability
ID2895240,8,23,7060110.00,2.20,3.18,15.77,3,champions
ID2895306,92,2,2272014.00,4.53,1.10,14.64,5,need bring back
ID2895468,22,5,589680.00,3.14,1.79,13.29,1,new customers with high buying ability
ID2895648,15,4,1459794.00,2.77,1.61,14.19,1,new customers with high buying ability
ID2895774,15,37,12344748.00,2.77,3.64,16.33,3,champions
ID2895924,57,1,61854.00,4.06,0.69,11.03,4,new customers with low buying ability
ID2896044,15,9,462354.00,2.77,2.30,13.04,1,new customers with high buying ability
ID2896182,120,3,247914.00,4.80,1.39,12.42,5,need bring back
ID2896242,274,1,121662.00,5.62,0.69,11.71,0,can not lose
ID2896374,225,3,238812.00,5.42,1.39,12.38,0,can not lose
ID2896422,309,1,121338.00,5.74,0.69,11.71,0,can not lose
ID2896434,50,2,182604.00,3.93,1.10,12.12,4,new customers with low buying ability
ID2896524,274,2,187056.00,5.62,1.10,12.14,0,can not lose
ID2896584,57,2,361506.00,4.06,1.10,12.80,5,need bring back
ID2896602,260,1,223884.00,5.56,0.69,12.32,0,can not lose
ID2896656,225,1,121638.00,5.42,0.69,11.71,0,can not lose
ID2896680,8,13,2249922.00,2.20,2.64,14.63,3,champions
ID2896746,99,2,243324.00,4.61,1.10,12.40,0,can not lose
ID2896944,1,1,120750.00,0.69,0.69,11.70,4,new customers with low buying ability
ID2897154,36,13,2367132.00,3.61,2.64,14.68,3,champions
ID2897202,197,2,264828.00,5.29,1.10,12.49,0,can not lose
ID2897274,22,32,4122594.00,3.14,3.50,15.23,3,champions
ID2897304,43,2,224340.00,3.78,1.10,12.32,4,new customers with low buying ability
ID2897310,36,19,5111496.00,3.61,3.00,15.45,3,champions
ID2897328,71,4,2003904.00,4.28,1.61,14.51,5,need bring back
ID2897388,148,3,729972.00,5.00,1.39,13.50,5,need bring back
ID2897400,57,1,222780.00,4.06,0.69,12.31,4,new customers with low buying ability
ID2897460,204,1,121662.00,5.32,0.69,11.71,0,can not lose
ID2897610,99,4,1752648.00,4.61,1.61,14.38,5,need bring back
ID2897646,78,1,120750.00,4.37,0.69,11.70,0,can not lose
ID2897736,183,2,481560.00,5.21,1.10,13.08,5,need bring back
ID2897778,260,2,607038.00,5.56,1.10,13.32,5,need bring back
ID2897928,8,5,917382.00,2.20,1.79,13.73,1,new customers with high buying ability
ID2897958,8,5,726072.00,2.20,1.79,13.50,1,new customers with high buying ability
ID2898054,148,4,692394.00,5.00,1.61,13.45,5,need bring back
ID2898102,36,4,736518.00,3.61,1.61,13.51,1,new customers with high buying ability
ID2898240,50,2,78642.00,3.93,1.10,11.27,4,new customers with low buying ability
ID2898312,15,10,828234.00,2.77,2.40,13.63,1,new customers with high buying ability
ID2898408,253,1,121662.00,5.54,0.69,11.71,0,can not lose
ID2898414,141,1,444288.00,4.96,0.69,13.00,5,need bring back
ID2898804,85,8,2169192.00,4.45,2.20,14.59,5,need bring back
ID2899068,267,2,486624.00,5.59,1.10,13.10,5,need bring back
ID2899248,71,3,465168.00,4.28,1.39,13.05,5,need bring back
ID2899296,15,3,303354.00,2.77,1.39,12.62,1,new customers with high buying ability
ID2899422,29,6,1427226.00,3.40,1.95,14.17,1,new customers with high buying ability
ID2899548,71,1,27216.00,4.28,0.69,10.21,2,may lose
ID2899608,29,10,1823646.00,3.40,2.40,14.42,1,new customers with high buying ability
ID2899662,288,2,129660.00,5.67,1.10,11.77,0,can not lose
ID2899902,155,6,1665324.00,5.05,1.95,14.33,5,need bring back
ID2899938,330,1,1223820.00,5.80,0.69,14.02,5,need bring back
ID2899992,15,33,8774784.00,2.77,3.53,15.99,3,champions
ID2900034,57,3,602922.00,4.06,1.39,13.31,5,need bring back
ID2900064,29,1,27216.00,3.40,0.69,10.21,4,new customers with low buying ability
ID2900166,253,1,192402.00,5.54,0.69,12.17,0,can not lose
ID2900190,15,8,2113320.00,2.77,2.20,14.56,1,new customers with high buying ability
ID2900304,71,4,753060.00,4.28,1.61,13.53,5,need bring back
ID2900358,85,1,121662.00,4.45,0.69,11.71,0,can not lose
ID2900376,22,2,126684.00,3.14,1.10,11.75,4,new customers with low buying ability
ID2900574,36,6,551544.00,3.61,1.95,13.22,1,new customers with high buying ability
ID2900640,78,2,126684.00,4.37,1.10,11.75,4,new customers with low buying ability
ID2900712,1,9,508002.00,0.69,2.30,13.14,1,new customers with high buying ability
ID2900868,225,2,905418.00,5.42,1.10,13.72,5,need bring back
ID2900886,15,4,1203078.00,2.77,1.61,14.00,1,new customers with high buying ability
ID2901024,71,1,241500.00,4.28,0.69,12.39,0,can not lose
ID2901108,106,1,243324.00,4.67,0.69,12.40,0,can not lose
ID2901276,29,11,2321718.00,3.40,2.48,14.66,1,new customers with high buying ability
ID2901294,113,4,554700.00,4.74,1.61,13.23,5,need bring back
ID2901336,15,13,5329632.00,2.77,2.64,15.49,3,champions
ID2901456,197,1,121662.00,5.29,0.69,11.71,0,can not lose
ID2901558,1,17,2750376.00,0.69,2.89,14.83,3,champions
ID2901636,176,1,325380.00,5.18,0.69,12.69,0,can not lose
ID2901744,92,5,491742.00,4.53,1.79,13.11,5,need bring back
ID2901948,36,2,182568.00,3.61,1.10,12.11,4,new customers with low buying ability
ID2901960,260,3,308190.00,5.56,1.39,12.64,0,can not lose
ID2902038,8,8,1231866.00,2.20,2.20,14.02,1,new customers with high buying ability
ID2902068,15,19,3476496.00,2.77,3.00,15.06,3,champions
ID2902104,22,1,102678.00,3.14,0.69,11.54,4,new customers with low buying ability
ID2902116,204,3,1695000.00,5.32,1.39,14.34,5,need bring back
ID2902704,169,3,365022.00,5.14,1.39,12.81,5,need bring back
ID2903088,323,1,62616.00,5.78,0.69,11.04,0,can not lose
ID2903220,64,3,485352.00,4.17,1.39,13.09,5,need bring back
ID2903256,22,7,1420110.00,3.14,2.08,14.17,1,new customers with high buying ability
ID2903292,316,1,223884.00,5.76,0.69,12.32,0,can not lose
ID2903478,15,10,551676.00,2.77,2.40,13.22,1,new customers with high buying ability
ID2903538,15,3,189534.00,2.77,1.39,12.15,4,new customers with low buying ability
ID2903616,344,1,42126.00,5.84,0.69,10.65,2,may lose
ID2903754,239,1,121662.00,5.48,0.69,11.71,0,can not lose
ID2903766,43,3,232572.00,3.78,1.39,12.36,4,new customers with low buying ability
ID2903802,295,1,121638.00,5.69,0.69,11.71,0,can not lose
ID2903898,50,1,222804.00,3.93,0.69,12.31,4,new customers with low buying ability
ID2903952,43,2,242412.00,3.78,1.10,12.40,4,new customers with low buying ability
ID2904138,15,20,2530548.00,2.77,3.04,14.74,3,champions
ID2904150,85,7,3599394.00,4.45,2.08,15.10,5,need bring back
ID2904174,99,2,364986.00,4.61,1.10,12.81,5,need bring back
ID2904258,57,2,250410.00,4.06,1.10,12.43,5,need bring back
ID2904324,29,8,1578486.00,3.40,2.20,14.27,1,new customers with high buying ability
ID2904624,57,11,1009224.00,4.06,2.48,13.82,1,new customers with high buying ability
ID2904636,218,1,121662.00,5.39,0.69,11.71,0,can not lose
ID2904726,29,12,1913706.00,3.40,2.56,14.46,1,new customers with high buying ability
ID2904738,57,1,120750.00,4.06,0.69,11.70,4,new customers with low buying ability
ID2904744,22,2,483000.00,3.14,1.10,13.09,1,new customers with high buying ability
ID2904870,323,1,80460.00,5.78,0.69,11.30,0,can not lose
ID2904888,232,1,243324.00,5.45,0.69,12.40,0,can not lose
ID2904942,99,6,1211244.00,4.61,1.95,14.01,5,need bring back
ID2905008,15,18,10487082.00,2.77,2.94,16.17,3,champions
ID2905026,309,1,571482.00,5.74,0.69,13.26,5,need bring back
ID2905032,281,3,852504.00,5.64,1.39,13.66,5,need bring back
ID2905080,113,1,935280.00,4.74,0.69,13.75,5,need bring back
ID2905398,8,20,3261636.00,2.20,3.04,15.00,3,champions
ID2905542,43,3,362250.00,3.78,1.39,12.80,5,need bring back
ID2905740,78,2,242412.00,4.37,1.10,12.40,5,need bring back
ID2905758,8,42,16490622.00,2.20,3.76,16.62,3,champions
ID2906052,113,2,186492.00,4.74,1.10,12.14,0,can not lose
ID2906172,43,5,1458840.00,3.78,1.79,14.19,1,new customers with high buying ability
ID2906298,281,1,63126.00,5.64,0.69,11.05,0,can not lose
ID2906418,148,1,124704.00,5.00,0.69,11.73,0,can not lose
